Time,G,Acc
-0.016139,-0.600274,-5.88868794
-0.016039,0.193637,1.89957897
-0.015939,11.424577,112.0751004
-0.015839,3.175645,31.15307745
-0.015739,4.047011,39.70117791
-0.015639,21.745424,213.3226094
-0.015539,20.525511,201.3552629
-0.015439,2.284915,22.41501615
-0.015339,-0.464729,-4.55899149
-0.015239,9.042843,88.71028983
-0.015139,14.290403,140.1888534
-0.015039,3.020736,29.63342016
-0.014939,10.688757,104.8567062
-0.014839,11.153485,109.4156879
-0.014739,5.421833,53.18818173
-0.014638,14.425949,141.5185597
-0.014538,21.571151,211.6129913
-0.014438,32.782727,321.5985519
-0.014338,36.229464,355.4110418
-0.014238,25.850526,253.5936601
-0.014138,23.759248,233.0782229
-0.014038,25.327707,248.4648057
-0.013938,25.908617,254.1635328
-0.013838,21.222604,208.1937452
-0.013738,23.13961,226.9995741
-0.013638,33.537911,329.0069069
-0.013538,38.301379,375.736528
-0.013438,35.880918,351.9918056
-0.013338,30.613994,300.3232811
-0.013238,25.734344,252.4539146
-0.013138,19.286235,189.1979654
-0.013038,22.791063,223.580328
-0.012938,23.604338,231.5585558
-0.012838,23.623702,231.7485166
-0.012738,46.956948,460.6476599
-0.012638,58.187889,570.8231911
-0.012538,43.626394,427.9749251
-0.012438,53.192057,521.8140792
-0.012338,52.204508,512.1262235
-0.012238,14.445313,141.7085205
-0.012138,12.760672,125.1821923
-0.012038,46.550311,456.6585509
-0.011938,10.437029,102.3872545
-0.011838,-103.227832,-1012.665032
-0.011738,-86.013511,-843.7925429
-0.011638,64.868362,636.3586312
-0.011538,117.944236,1157.032955
-0.011438,59.465892,583.3604005
-0.011338,46.647129,457.6083355
-0.011237,44.71076,438.6125556
-0.011137,-9.9723,-97.828263
-0.011037,-69.225192,-679.0991335
-0.010937,-35.009552,-343.4437051
-0.010837,41.205932,404.2301929
-0.010737,54.140877,531.1220034
-0.010637,-13.438401,-131.8307138
-0.010537,-14.038675,-137.7194018
-0.010437,73.601386,722.0295967
-0.010337,93.449168,916.7363381
-0.010237,56.696884,556.196432
-0.010137,41.360842,405.74986
-0.010037,23.681793,232.3183893
-0.009937,-10.282119,-100.8675874
-0.009837,-11.656941,-114.3545912
-0.009737,2.846462,27.92379222
-0.009637,33.925185,332.8060649
-0.009537,9.120298,89.47012338
-0.009437,-31.059359,-304.6923118
-0.009337,-14.348494,-140.7587261
-0.009237,23.662429,232.1284285
-0.009137,14.813223,145.3177176
-0.009037,23.759248,233.0782229
-0.008937,45.369126,445.0711261
-0.008837,40.625022,398.5314658
-0.008737,17.911413,175.7109615
-0.008637,15.161769,148.7369539
-0.008537,58.187889,570.8231911
-0.008437,75.09239,736.6563459
-0.008337,72.149109,707.7827593
-0.008237,60.008075,588.6792158
-0.008137,64.752179,635.218876
-0.008037,80.533587,790.0344885
-0.007937,84.677417,830.6854608
-0.007836,73.349658,719.560145
-0.007736,70.232104,688.9769402
-0.007636,93.875169,920.9154079
-0.007536,88.705064,870.1966778
-0.007436,39.850474,390.9331499
-0.007336,31.349814,307.5416753
-0.007236,79.139401,776.3575238
-0.007136,105.10611,1031.090939
-0.007036,64.326178,631.0398062
-0.006936,38.630562,378.9658132
-0.006836,72.768747,713.8614081
-0.006736,78.694036,771.9884932
-0.006636,51.081414,501.1086713
-0.006536,35.822827,351.4219329
-0.006436,39.09529,383.5247949
-0.006336,54.99288,539.4801528
-0.006236,70.522559,691.8263038
-0.006136,64.422997,631.9896006
-0.006036,55.147789,540.9998101
-0.005936,61.092442,599.316856
-0.005836,51.58487,506.0475747
-0.005736,58.149161,570.4432694
-0.005636,67.598642,663.142678
-0.005536,83.012139,814.3490836
-0.005436,85.06469,834.4846089
-0.005336,71.452016,700.944277
-0.005236,73.175385,717.8505269
-0.005136,64.771543,635.4088368
-0.005036,60.298531,591.5285891
-0.004936,61.073078,599.1268952
-0.004836,46.666493,457.7982963
-0.004736,52.10769,511.1764389
-0.004636,60.317894,591.7185401
-0.004536,65.914001,646.6163498
-0.004436,63.106266,619.0724695
-0.004335,55.244608,541.9496045
-0.004235,45.775763,449.060235
-0.004135,30.96254,303.7425174
-0.004035,42.057935,412.5883424
-0.003935,58.652617,575.3821728
-0.003835,57.703796,566.0742388
-0.003735,50.403685,494.4601499
-0.003635,51.701052,507.1873201
-0.003535,56.115974,550.4977049
-0.003435,58.052343,569.4934848
-0.003335,61.460352,602.9260531
-0.003235,64.035723,628.1904426
-0.003135,63.028811,618.3126359
-0.003035,56.290247,552.2073231
-0.002935,52.63051,516.3053031
-0.002835,56.019155,549.5479106
-0.002735,58.61389,575.0022609
-0.002635,42.580754,417.7171967
-0.002535,35.067643,344.0135778
-0.002435,35.939009,352.5616783
-0.002335,31.33045,307.3517145
-0.002235,31.504724,309.0613424
-0.002135,36.113282,354.2712964
-0.002035,36.384374,356.9307089
-0.001935,31.678997,310.7709606
-0.001835,47.983224,470.7154274
